objectid,lad19cd,local_authority,la_welsh,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
178,E07000155,South Northamptonshire, ,463000,247077,-1.08129001,52.11840057,634023186.9,225304.6919
196,E07000179,South Oxfordshire, ,463890,191964,-1.07846999,51.6228981,678537176.8,205361.6887
149,E07000126,South Ribble, ,352016,425840,-2.72872996,53.72669983,114615081.4,75383.65277
201,E07000189,South Somerset, ,345633,120798,-2.7758801,50.98400116,959058128.5,240610.6634
206,E07000196,South Staffordshire, ,389625,311037,-2.1549499,52.69689941,407322253.4,184894.3395
270,E08000023,South Tyneside, ,435503,564057,-1.44695997,54.96989822,67108369.81,45677.15667
43,E06000045,Southampton, ,442253,113608,-1.40024996,50.92039871,56385164.84,37286.19666
31,E06000033,Southend-on-Sea, ,587776,186833,0.70690602,51.54909897,67901001.47,69436.77905
312,E09000028,Southwark, ,533945,175862,-0.07309,51.46590042,29913439.57,33627.23315
219,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41550064,51161362.54,44134.5376
242,E07000240,St Albans, ,514580,209623,-0.3407,51.77360153,161205874.1,72946.34159
261,E08000013,St. Helens, ,353412,395992,-2.70309997,53.45859909,136358793,76387.03584
207,E07000197,Stafford, ,389001,327836,-2.1647501,52.84790039,598172233.4,159078.8066
208,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334002,53.06919861,575849820.8,152448.1853
245,E07000243,Stevenage, ,524622,224531,-0.18987,51.90539932,25969241.28,28588.26136
346,S12000030,Stirling, ,255980,708769,-4.32595015,56.24950027,2254812594,331998.3919
255,E08000007,Stockport, ,391806,388264,-2.12467003,53.39120102,126040278.9,73638.80181
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30668998,54.55690002,209730809,108085.2555
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01710129,93448483.35,63974.629
227,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565004,52.16149902,977869055,261384.0872
109,E07000082,Stroud, ,378806,202410,-2.30819988,51.72000122,476173155.2,171988.3363
271,E08000024,Sunderland, ,436470,551525,-1.43343997,54.85720062,139630134.9,69187.82119
220,E07000214,Surrey Heath, ,491362,160483,-0.68985999,51.33610153,95092959.17,53559.72417
313,E09000029,Sutton, ,527356,163640,-0.17227,51.35760117,43846970.96,39844.42333
136,E07000113,Swale, ,593761,161976,0.77952999,51.32389832,422095542.3,110046.5547
370,W06000011,Swansea,Abertawe,264022,197308,-3.96723008,51.65810013,420897963.6,147002.6675
28,E06000030,Swindon, ,418551,186564,-1.73367,51.57759857,230093374.7,103014.9402
256,E08000008,Tameside, ,394987,397995,-2.0769999,53.47869873,103154300.8,55989.03016
209,E07000199,Tamworth, ,421455,302550,-1.68450999,52.62030029,30850716.19,30730.06254
221,E07000215,Tandridge, ,536365,150325,-0.04805,51.2358017,248194569.4,83136.90281
85,E07000045,Teignbridge, ,283069,80251,-3.65395999,50.61019897,681008164.6,160799.5148
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48940992,52.71419907,290313545.2,118780.0333
103,E07000076,Tendring, ,614203,222163,1.10917997,51.85689926,365817969,100530.8684
120,E07000093,Test Valley, ,434930,137329,-1.50214005,51.13420105,627621788,185843.0352
110,E07000083,Tewkesbury, ,386347,226279,-2.19998002,51.93479919,414975897.7,201683.9047
137,E07000114,Thanet, ,631844,166753,1.3283,51.35250092,112338892,55446.02006
126,E07000102,Three Rivers, ,507313,196418,-0.45005,51.65629959,88824172.12,74112.6324
32,E06000034,Thurrock, ,562126,181586,0.33490199,51.50989914,184317858.6,77762.10388
138,E07000115,Tonbridge and Malling, ,564014,153898,0.34930599,51.26060104,240973422.6,109908.3662
27,E06000027,Torbay, ,289730,64608,-3.5552299,50.47090149,119467088.4,52413.76399
378,W06000020,Torfaen,Torfaen,327459,200480,-3.05100989,51.69839859,126239927.8,82544.77597
86,E07000046,Torridge, ,244206,114405,-4.21730995,50.90800095,995593250.4,306016.0422
314,E09000030,Tower Hamlets, ,536345,181451,-0.0364,51.51549911,21574978.83,26802.80715
257,E08000009,Trafford, ,375790,391162,-2.36572003,53.41669846,106044771.8,60712.77777
139,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.10250092,331328854.7,150590.455
104,E07000077,Uttlesford, ,557832,228865,0.294485,51.93590164,641182808.1,166508.4804
373,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803004,51.44839859,339675776.3,102214.9312
197,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65439987,578644515.5,175938.665
283,E08000036,Wakefield, ,438366,418235,-1.42092001,53.65919876,338619733.2,109447.3563
277,E08000030,Walsall, ,402098,300804,-1.97044003,52.60499954,103973538.3,59401.17943
315,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.59460068,38807964.33,33339.36535
316,E09000032,Wandsworth, ,525152,174137,-0.20021001,51.45240021,35220161.11,37404.60698
7,E06000007,Warrington, ,362744,388456,-2.56167006,53.39160156,182383629.9,84154.64071
228,E07000222,Warwick, ,428484,267113,-1.58369005,52.30139923,282882321,116717.4793
127,E07000103,Watford, ,510441,198197,-0.40428999,51.67169952,21430351.4,26392.36379
222,E07000216,Waverley, ,496363,140635,-0.62343001,51.1568985,345170236.7,125436.0563
92,E07000065,Wealden, ,555048,117173,0.205153,50.93320084,836265345.7,218953.2798
179,E07000156,Wellingborough, ,487787,266827,-0.71425003,52.29259872,163036490.5,69758.41946
243,E07000241,Welwyn Hatfield, ,525345,208467,-0.18517999,51.76089859,129536895.7,82392.05965
35,E06000037,West Berkshire, ,450575,172095,-1.27364004,51.4455986,704169402.4,166802.0315
87,E07000047,West Devon, ,256379,86998,-4.03356981,50.66490173,1164717860,240914.6248
352,S12000039,West Dunbartonshire, ,242904,681587,-4.52074003,56.00139999,182782989,84790.86745
150,E07000127,West Lancashire, ,342611,413268,-2.8689301,53.6128006,381095012.4,146562.0777
165,E07000142,West Lindsey, ,499314,390326,-0.50774002,53.40039825,1157652127,247208.6548
353,S12000040,West Lothian, ,299483,668514,-3.60909009,55.89920044,431590876.5,137340.1998
198,E07000181,West Oxfordshire, ,434343,215816,-1.50292003,51.83990097,714422027.1,160247.8976
247,E07000245,West Suffolk, ,580944,271124,0.65276903,52.3083992,1034675785,274547.7797
317,E09000033,Westminster, ,528268,180871,-0.15295,51.5121994,22030048.53,27156.26244
258,E08000010,Wigan, ,362136,402126,-2.57246995,53.51449966,188171013,88690.4959
51,E06000054,Wiltshire, ,405209,158863,-1.92660999,51.3288002,3255338124,402006.9682
121,E07000094,Winchester, ,453115,125901,-1.24392998,51.02999878,661070792.4,167986.0534
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67540997,51.4803009,198427175.1,114829.4209
263,E08000015,Wirral, ,329242,386937,-3.06502008,53.37450027,256399082.8,97885.31963
223,E07000217,Woking, ,499087,157542,-0.57981998,51.3083992,63603603.84,54781.5016
39,E06000041,Wokingham, ,476624,169902,-0.89934999,51.42300034,178965481,86865.90159
278,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.59790039,69436711.83,56054.91438
239,E07000237,Worcester, ,385725,255196,-2.2102499,52.19480133,33278124.96,31263.06623
235,E07000229,Worthing, ,512679,104948,-0.40127,50.83309937,33782677.26,29138.9318
366,W06000006,Wrexham,Wrecsam,333523,345387,-2.99202991,53.00170135,503773489.3,190040.818
240,E07000238,Wychavon, ,398991,247839,-2.01613998,52.12889862,663541973.6,219520.1516
60,E07000007,Wycombe, ,482477,197052,-0.80883002,51.66619873,324572080.5,113202.0025
151,E07000128,Wyre, ,347227,445159,-2.80462003,53.89989853,329030188.6,137376.449
241,E07000239,Wyre Forest, ,384106,276388,-2.23494005,52.38529968,195403719.2,100867.3839
14,E06000014,York, ,460864,452589,-1.07375002,53.96580124,272014815.4,99399.43741
